feature_set,model,cv_r2_mean,val_rmse,val_mae,test_rmse,test_mae,test_r2
core,gradient_boosting,0.8414051360453945,0.151908602395133,0.11871379040196743,0.3047253285251635,0.2633306177359442,-1.1154584152018052
core_lagged,gradient_boosting_tuned,0.8676732727480253,0.13869398192056254,0.10750556976365609,0.27767537294604494,0.23028197884597784,-0.756556454966294
demeaned_lagged,gradient_boosting,0.5992415336679395,0.16265735777731924,0.12726123416232027,0.25967648946170635,0.21668957777334608,-0.5362172851868261
