model,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae
random_forest,0.2064705682654282,0.1877392455998447,0.14507990196078446,-1.7687422692011978,0.3486162067863397,0.3010167973856208
linear_regression,-0.8840174357071569,0.2892784005969242,0.2244785715034323,-6.980579024788877,0.5918661586217338,0.5195075296338587
