model,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,feature_set,n_numeric_features,learning_rate,max_depth,n_estimators,subsample
gradient_boosting_tuned,0.10100506684330497,0.012876338386324262,0.8676732727480253,0.027944845459713222,0.5669199917230932,0.13869398192056254,0.10750556976365609,-0.756556454966294,0.27767537294604494,0.23028197884597784,core_lagged,10,0.05,3,500,0.8
gradient_boosting_tuned,0.10812385058838284,0.012048382626074532,0.8487016806904357,0.02679197672563797,0.5578752143211387,0.14013479415708252,0.11117948422391266,-0.6667023578272206,0.2704801088594508,0.2254902793835922,core_lagged,10,0.05,3,200,0.8
gradient_boosting_tuned,0.10333534141853196,0.012918207937448882,0.8615737278202381,0.028275754451223607,0.5563330704942315,0.14037897848576042,0.1100786218598054,-0.7176109198613476,0.2745798755812933,0.2282819646159397,core_lagged,10,0.05,3,300,0.8
gradient_boosting_tuned,0.10543302798649004,0.011354764135963116,0.8560371121450456,0.024667724814307894,0.5513817316544642,0.14116012235062794,0.11200220712104379,-0.8405471428014455,0.2842364566453317,0.24174652441990943,core_lagged,10,0.05,3,300,1.0
gradient_boosting_tuned,0.10191966221858513,0.01093634602635267,0.8655144461711245,0.02305421133460693,0.5496602178864203,0.14143070474617953,0.11175291712640786,-0.9713252088632585,0.29416123855768633,0.2511336813556998,core_lagged,10,0.05,3,500,1.0
gradient_boosting_tuned,0.10272315238853277,0.014399019113654188,0.8626604368768866,0.032536162325193296,0.5486315027111548,0.1415921483112847,0.11213091793492204,-0.8379351728114293,0.2840347012377581,0.23725026049207115,core_lagged,10,0.03,3,500,0.8
gradient_boosting_tuned,0.09931648222454484,0.01269378646821275,0.8715257577566508,0.028322063932921707,0.5474253176211786,0.14178120934893607,0.11324434226959902,-1.0122819940758663,0.2972013160538542,0.24662112053553945,core_lagged,10,0.1,3,500,0.8
gradient_boosting_tuned,0.1012838753607953,0.013039791190741093,0.8664362799975451,0.02912598805404475,0.5457887754519783,0.1420373234835188,0.11179784997106475,-0.9216340694622585,0.2904301188765692,0.24111669803109265,core_lagged,10,0.1,3,200,0.8
gradient_boosting_tuned,0.10018253797692259,0.012624464067971578,0.8693676431745425,0.028120204111162162,0.542833512426147,0.14249864749538005,0.11325879875745716,-0.9846968862053651,0.2951572136195892,0.24487723134996306,core_lagged,10,0.1,3,300,0.8
gradient_boosting_tuned,0.1047966061102211,0.014860288191363055,0.8569406628152562,0.03450248257916594,0.5381106680083048,0.14323281080905864,0.11189420944596065,-0.8536108915822904,0.28524339312219726,0.2411565428045713,core_lagged,10,0.1,3,200,1.0
gradient_boosting_tuned,0.10285301043846169,0.014933768420636451,0.8620999760837116,0.034594685095604094,0.5380364126593751,0.14324432371288429,0.11336686004842908,-0.9140240967312596,0.2898544739569802,0.24548417707479533,core_lagged,10,0.1,3,300,1.0
gradient_boosting_tuned,0.10169352152189223,0.01542557095615724,0.8649270858057122,0.03575779278154927,0.5345616231698869,0.14378204076190296,0.11417113163942472,-0.886931636394185,0.28779575952834385,0.24410218038094608,core_lagged,10,0.1,3,500,1.0
gradient_boosting_tuned,0.1065520637395118,0.011727249256050062,0.8528204648039155,0.025989976437377053,0.5344738447420605,0.1437955982671666,0.11337346625492893,-0.8212678152932242,0.28274388049279725,0.23915794761387352,core_lagged,10,0.03,3,500,1.0
gradient_boosting_tuned,0.11107740639139854,0.011473297283150653,0.840296593964316,0.026001831126410888,0.5330450424388462,0.14401609938628693,0.11440508548308444,-0.7414669768150783,0.2764801327683807,0.23391411827750028,core_lagged,10,0.05,3,200,1.0
gradient_boosting_tuned,0.11323701441519565,0.01585859586044054,0.833279693870821,0.038729351564630574,0.5324600001288143,0.14410628917433851,0.11357062366318131,-1.1592334367715988,0.30786201394382773,0.2547510556965637,core_lagged,10,0.1,2,500,0.8
gradient_boosting_tuned,0.10976755667435327,0.013569305608588236,0.8436543521973713,0.03192376910345388,0.5323905345103257,0.14411699420567953,0.1142165555912867,-0.7585575223207253,0.2778334916800809,0.23375713935300116,core_lagged,10,0.03,3,300,0.8
gradient_boosting_tuned,0.11447457004772672,0.017133368885608097,0.8294265639975406,0.04265293430991666,0.531559887855449,0.1442449398448803,0.11510090867061638,-0.8718781575729315,0.28664547869992707,0.24023652611354995,core_lagged,10,0.05,2,500,0.8
gradient_boosting_tuned,0.11378269121756379,0.011884281536457287,0.8323801384849245,0.02777926310537294,0.5194086464651786,0.14610380460229572,0.1143342525804586,-0.7460113657971781,0.2768406376422435,0.23335129829499748,core_lagged,10,0.03,3,300,1.0
gradient_boosting_tuned,0.11264599899540509,0.01187746559666447,0.8358433584873909,0.026966172429695384,0.5168898249940701,0.14648617567954192,0.11758697588765528,-1.170281274338894,0.3086486055973067,0.25917429812624115,core_lagged,10,0.1,2,500,1.0
gradient_boosting_tuned,0.11700805959152094,0.012915896743615355,0.8228420380115464,0.030398448113883317,0.5152178804482356,0.14673943594958616,0.11724398950597158,-1.072471302519669,0.3016133570093599,0.2533080639575014,core_lagged,10,0.05,2,500,1.0
gradient_boosting_tuned,0.11496199787520978,0.01316184843498953,0.8288944038721905,0.03082347857604814,0.5151167587732841,0.14675473948825524,0.11806166224266731,-1.1182544499917264,0.3049266421663979,0.2560273574839008,core_lagged,10,0.1,2,300,1.0
gradient_boosting_tuned,0.12061322146785566,0.012837166996276914,0.8118988928560686,0.030784968240119264,0.5030956834145835,0.148562751234415,0.1198012550958129,-1.0257592903850559,0.2981949108629526,0.25131895664487586,core_lagged,10,0.1,2,200,1.0
gradient_boosting_tuned,0.12242351941284643,0.014738221967736729,0.8058362521601614,0.03739902998201831,0.49690255782260184,0.14948568415742985,0.12025237038379888,-0.7514638447744555,0.2772725624205785,0.23208489200142401,core_lagged,10,0.05,2,300,0.8
gradient_boosting_tuned,0.11442140266095908,0.01624883313787964,0.8297024190849411,0.040128781287050594,0.49126813172683015,0.15032043389895866,0.11960189007031902,-1.1011656157853902,0.3036941667803513,0.2528421593468854,core_lagged,10,0.1,2,300,0.8
gradient_boosting_tuned,0.11834809300584222,0.012173226100594165,0.8187654555347678,0.02994828804642314,0.4895733806551519,0.15057060881081313,0.12003966107723289,-0.7152571320637693,0.27439167104502893,0.23200674673200175,core_lagged,10,0.03,3,200,0.8
